,Employee ID,Age,Gender,Department,Job Satisfaction,Stress Level,Annual Salary,Overtime Hours/Month,Manager Rating,Promotion in Last 5 Years,Date Hired,Parent Education Level,Favorite Activity,Job Description
12,E00012,37,Female,Marketing,7,10,92K(est.),50,5,No,1994/03,High School,Traveling,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
13,E00013,44,female,HR,6,3,76K(est.),12,2,Yes,2008/07,College,Traveling,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
14,E00014,27,male,Marketing,10,6,40K(est.),4,5,Yes,2020/03,High School,Gaming,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
15,E00015,65,Male,HR,3,5,62K(est.),5,4,Yes,2015/07,Graduate,Playing Sports,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
16,E00016,30,M,Marketing,9,10,108K(est.),46,5,Yes,2021/06,College,Traveling,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
17,E00017,49,Male,Finance,5,1,94K(est.),16,3,Yes,2020/05,College,Gaming,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
18,E00018,33,female,Operations,2,9,60K(est.),36,5,Yes,2004/01,High School,Traveling,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
19,E00019,50,male,HR,2,1,115K(est.),34,3,Yes,2022/11,College,Cooking,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
20,E00020,44,Female,Marketing,8,1,78K(est.),41,3,No,2013/09,High School,Playing Sports,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
21,E00021,65,Male,Finance,2,7,47K(est.),15,5,No,2023/09,CgjpfJEAvbl,Reading,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
22,E00022,40,female,HR,4,4,117K(est.),30,4,No,2000/12,High School,Gaming,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
23,E00023,60,male,HR,8,3,103K(est.),42,1,No,1992/05,High School,Traveling,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
24,E00024,25,M,Sales,1,6,41K(est.),19,5,Yes,1991/10,College,Reading,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
25,E00025,44,M,HR,9,8,115K(est.),7,5,No,2021/09,High School,Traveling,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
26,E00026,31,F,Operations,8,6,104K(est.),0,5,-1,2021/09,College,Gaming,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
27,E00027,45,Female,HR,6,2,65K(est.),36,4,No,2008/11,PhD,Gaming,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
28,E00028,32,F,Sales,7,8,49K(est.),6,1,No,2008/08,College,Cooking,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
29,E00029,45,Male,Sales,4,2,40K(est.),19,2,No,2017/01,NbZgotOQ,Playing Sports,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
30,E00030,41,Male,Finance,10,,68K(est.),29,1,Yes,2006/04,Graduate,Reading,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
31,E00031,50,Female,Sales,8,3,73K(est.),20,3,No,2020/02,Graduate,Traveling,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
32,E00032,64,M,Marketing,2,,115K(est.),41,3,No,1990/02,Graduate,Hiking,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
33,E00033,55,Male,Finance,5,10,105K(est.),11,4,Yes,2000/02,Graduate,Reading,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
34,E00034,52,F,IT,6,9,61K(est.),36,5,Yes,2014/02,PhD,Reading,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
35,E00035,61,female,HR,3,6,56K(est.),15,4,Yes,1992/03,PhD,Gaming,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
36,E00036,60,Male,Finance,2,,87K(est.),2,3,No,2000/04,PhD,Hiking,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
37,E00037,27,Male,Operations,2,9,110K(est.),42,5,Yes,2012/01,Graduate,Playing Sports,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
38,E00038,34,M,Finance,6,10,109K(est.),1,2,No,2019/07,Graduate,Hiking,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
39,E00039,47,female,HR,2,5,81K(est.),37,4,Yes,2010/03,College,Hiking,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
40,E00040,44,male,HR,7,4,52K(est.),9,2,Yes,2019/01,College,Playing Sports,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
41,E00041,51,Male,Operations,3,1,68K(est.),22,2,No,2012/05,PhD,Gaming,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
42,E00042,35,female,Sales,3,2,40K(est.),5,2,Yes,1995/10,College,Reading,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
43,E00043,65,M,Finance,2,,86K(est.),50,3,No,2001/06,PhD,Playing Sports,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
44,E00044,33,M,Sales,8,1,110K(est.),35,4,Yes,1996/10,Graduate,Gaming,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
45,E00045,44,female,IT,4,2,57K(est.),21,2,No,2003/02,High School,Hiking,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
46,E00046,48,Female,Finance,7,,91K(est.),0,2,Yes,1997/04,Graduate,Traveling,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
47,E00047,43,Female,HR,1,1,116K(est.),27,3,Yes,2018/09,High School,Cooking,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
48,E00048,62,male,Operations,8,3,64K(est.),2,5,Yes,2007/04,aMoeHFme,Traveling,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
49,E00049,30,F,Operations,2,7,114K(est.),0,4,No,1994/03,nynoFwUB,Cooking,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
50,E00050,54,Male,Operations,10,9,63K(est.),36,3,No,2013/11,Graduate,Cooking,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
51,E00051,28,M,Marketing,4,7,44K(est.),11,5,No,2008/05,College,Hiking,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
52,E00052,27,Male,Marketing,5,8,113K(est.),43,1,Yes,2012/12,PhD,Traveling,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
53,E00053,49,female,Finance,1,1,58K(est.),33,2,No,2016/02,College,Traveling,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
54,E00054,39,Female,Finance,8,,58K(est.),6,4,No,2016/10,College,Traveling,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
55,E00055,46,Male,HR,4,5,103K(est.),19,4,Yes,2018/04,PhD,Playing Sports,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
56,E00056,33,Female,HR,6,4,119K(est.),5,4,Yes,2010/09,High School,Reading,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
57,E00057,63,M,Marketing,4,6,48K(est.),31,4,Yes,2016/12,PhD,Hiking,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
58,E00058,61,M,Sales,7,10,51K(est.),36,2,Yes,2014/09,Graduate,Gaming,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
59,E00059,43,Male,HR,1,10,110K(est.),24,5,Yes,1997/01,PXAHcNn,Hiking,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
60,E00060,40,F,Finance,3,4,91K(est.),17,5,Yes,2014/02,PhD,Gaming,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
61,E00061,25,M,Marketing,1,8,43K(est.),32,3,No,2002/03,High School,Playing Sports,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
62,E00062,35,male,Operations,1,,103K(est.),7,5,No,2004/03,nOV,Traveling,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
63,E00063,28,Female,IT,1,9,68K(est.),17,5,No,2019/03,High School,Traveling,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
64,E00064,54,Female,IT,4,5,120K(est.),39,5,No,1993/11,ojt,Playing Sports,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
65,E00065,29,female,Sales,10,6,81K(est.),27,4,No,1995/07,Graduate,Hiking,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
66,E00066,27,F,Marketing,4,10,118K(est.),45,3,No,2008/03,High School,Reading,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
67,E00067,37,Male,Finance,9,4,62K(est.),18,2,Yes,2000/12,Graduate,Cooking,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
68,E00068,45,Male,Finance,3,5,61K(est.),28,4,Yes,2003/10,High School,Reading,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
69,E00069,30,M,Marketing,8,7,70K(est.),19,1,No,1998/08,High School,Reading,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
70,E00070,44,male,Operations,5,8,85K(est.),9,4,No,2014/06,College,Traveling,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
71,E00071,30,Male,Marketing,8,3,69K(est.),49,2,No,2009/08,PhD,Gaming,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
72,E00072,29,Female,IT,8,5,57K(est.),13,3,Yes,2002/12,Graduate,Playing Sports,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
73,E00073,42,male,Operations,10,7,42K(est.),47,2,No,2018/09,High School,Playing Sports,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
74,E00074,41,female,Marketing,6,10,51K(est.),29,3,No,2014/11,Graduate,Playing Sports,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
75,E00075,35,male,Finance,8,7,67K(est.),11,1,Yes,2007/03,PhD,Traveling,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
76,E00076,62,male,Operations,3,7,85K(est.),8,2,No,2021/06,College,Traveling,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
77,E00077,52,female,Finance,6,4,119K(est.),23,1,Yes,2018/08,High School,Traveling,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
78,E00078,24,Female,Marketing,4,9,54K(est.),2,2,No,2004/12,Graduate,Playing Sports,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
79,E00079,62,male,HR,9,8,104K(est.),32,5,Yes,2013/04,High School,Hiking,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
80,E00080,24,Female,HR,7,8,88K(est.),11,2,Yes,2018/12,aLVypJlycrh,Cooking,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
81,E00081,37,Male,Marketing,3,6,41K(est.),49,1,No,1991/08,PhD,Gaming,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
82,E00082,51,male,HR,1,,49K(est.),46,5,Yes,1992/06,Graduate,Gaming,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
83,E00083,41,female,IT,1,6,76K(est.),40,1,Yes,2014/11,Graduate,Traveling,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
84,E00084,56,male,Finance,6,,78K(est.),37,1,No,2010/07,PhD,Traveling,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
85,E00085,40,Male,IT,7,2,98K(est.),9,5,Yes,2011/11,College,Reading,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
86,E00086,26,Male,Finance,6,2,42K(est.),9,3,No,1997/03,College,Traveling,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
87,E00087,36,F,Sales,9,4,86K(est.),41,1,No,2000/08,ttJITPm,Hiking,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
88,E00088,40,male,Marketing,5,1,81K(est.),8,5,Yes,1998/08,High School,Reading,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
89,E00089,48,F,IT,9,9,68K(est.),44,2,Yes,2016/12,Graduate,Playing Sports,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
90,E00090,31,M,Marketing,7,6,53K(est.),40,3,No,2018/04,xmeQebj,Hiking,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
91,E00091,25,M,Operations,4,10,85K(est.),10,2,No,1998/07,High School,Reading,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
92,E00092,51,F,IT,4,2,94K(est.),45,1,Yes,2009/11,High School,Traveling,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
93,E00093,24,male,HR,4,3,109K(est.),5,3,No,2001/03,High School,Cooking,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
94,E00094,56,male,Operations,5,10,78K(est.),35,4,Yes,2004/11,tCy,Traveling,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
95,E00095,51,Female,Sales,5,7,108K(est.),4,5,Yes,2008/05,PhD,Cooking,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
96,E00096,43,Male,HR,8,10,72K(est.),46,5,No,2017/11,College,Reading,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
97,E00097,65,M,Marketing,1,4,47K(est.),4,3,Yes,2019/10,Graduate,Cooking,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
98,E00098,52,female,Sales,9,6,73K(est.),15,5,Yes,1997/06,High School,Reading,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
99,E00099,37,F,HR,9,9,76K(est.),12,1,No,1994/02,College,Playing Sports,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
100,E00100,51,M,IT,3,3,104K(est.),42,4,No,2000/02,College,Playing Sports,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
101,E00101,65,Female,Sales,6,1,50K(est.),9,3,Yes,2021/03,Graduate,Reading,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
102,E00102,61,male,IT,9,6,116K(est.),26,4,No,2021/11,PhD,Playing Sports,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
103,E00103,65,Male,Marketing,8,7,52K(est.),50,4,No,2008/12,College,Reading,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
104,E00104,40,Male,IT,6,8,69K(est.),48,2,No,2020/06,PhD,Cooking,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
105,E00105,42,female,Sales,8,6,118K(est.),5,4,No,1995/04,PhD,Reading,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
106,E00106,48,female,Finance,7,5,88K(est.),10,1,Yes,2009/03,Graduate,Gaming,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
107,E00107,64,Male,Finance,5,9,71K(est.),30,1,No,2016/07,Graduate,Reading,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
108,E00108,43,female,Marketing,7,8,61K(est.),42,4,No,2009/11,Graduate,Cooking,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
109,E00109,24,F,IT,7,10,85K(est.),28,1,Yes,1995/08,College,Reading,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
110,E00110,61,F,Finance,6,9,53K(est.),32,4,Yes,2008/09,College,Playing Sports,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
111,E00111,58,female,Operations,7,4,54K(est.),33,2,No,2006/05,Graduate,Hiking,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
112,E00112,38,Male,Marketing,1,3,45K(est.),39,3,Yes,2019/04,High School,Cooking,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
113,E00113,23,Female,Sales,1,8,96K(est.),2,4,Yes,1990/09,High School,Reading,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
114,E00114,64,Male,Operations,4,5,59K(est.),50,2,Yes,2001/08,College,Reading,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
115,E00115,65,Male,Finance,2,5,91K(est.),9,5,No,1991/06,Graduate,Gaming,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
116,E00116,40,M,HR,3,3,79K(est.),40,1,No,1996/01,Graduate,Traveling,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
117,E00117,52,male,Marketing,7,6,73K(est.),6,2,Yes,2019/02,High School,Cooking,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
118,E00118,44,male,Finance,10,1,59K(est.),40,5,No,2009/04,High School,Cooking,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
119,E00119,32,Female,IT,4,4,46K(est.),32,3,Yes,2007/09,NfcTyYW,Gaming,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
120,E00120,65,M,Marketing,1,5,104K(est.),43,4,Yes,2015/07,College,Hiking,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
121,E00121,57,male,Finance,8,3,85K(est.),37,4,Yes,2000/12,PhD,Reading,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
122,E00122,26,M,Operations,8,7,53K(est.),47,4,No,2006/10,Graduate,Reading,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
123,E00123,38,female,HR,7,5,68K(est.),11,3,No,2021/08,Graduate,Hiking,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
124,E00124,24,Female,Finance,4,2,48K(est.),24,2,No,2023/05,High School,Hiking,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
125,E00125,23,M,Operations,6,7,118K(est.),24,4,No,2005/09,Graduate,Reading,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
126,E00126,42,female,IT,10,9,76K(est.),10,5,Yes,2017/03,College,Hiking,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
127,E00127,25,male,Finance,4,3,119K(est.),24,5,Yes,1995/11,High School,Gaming,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
128,E00128,55,Male,Sales,10,4,63K(est.),5,3,No,2018/06,College,Hiking,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
129,E00129,52,F,Operations,7,1,95K(est.),18,1,Yes,2016/12,Graduate,Traveling,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
130,E00130,28,female,IT,6,5,54K(est.),13,1,No,1993/04,College,Hiking,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
131,E00131,61,female,Sales,3,10,117K(est.),43,5,No,2005/03,DFaMWlj,Playing Sports,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
132,E00132,39,Male,Marketing,3,9,68K(est.),8,1,Yes,1997/04,Graduate,Playing Sports,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
133,E00133,43,F,HR,9,7,108K(est.),34,4,Yes,2021/07,PhD,Traveling,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
134,E00134,60,Female,Operations,10,6,90K(est.),41,1,No,1994/06,High School,Gaming,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
135,E00135,25,male,Operations,6,6,90K(est.),46,3,No,1993/07,PhD,Playing Sports,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
136,E00136,46,F,Sales,10,9,68K(est.),2,2,Yes,2016/11,College,Reading,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
137,E00137,36,male,HR,7,1,43K(est.),2,5,Yes,2014/02,Graduate,Cooking,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
138,E00138,35,Female,Finance,9,5,63K(est.),13,2,Yes,1999/11,College,Playing Sports,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
139,E00139,43,Female,IT,7,7,83K(est.),6,3,Yes,2022/10,Graduate,Gaming,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
140,E00140,61,Male,IT,2,,88K(est.),33,5,No,1997/03,Graduate,Cooking,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
141,E00141,53,M,Operations,4,9,115K(est.),47,4,Yes,2022/07,PhD,Cooking,"Engages with clients, closes deals, and drives revenue growth. Skills: Negotiation, CRM Software, Communication, Customer Relations."
